3 1 0 295 0.031 0.343 1.084
4 0 0 204 0.028 0.119 0.182
4 1 0 967 0.350 0.126 0.228
0 0 0 1020 0.020 0.121 0.177
1 0 0 685 0.033 0.077 0.111
1 1 0 684 0.022 0.095 0.143
2 0 0 635 0.016 346.855 7265.616
2 1 0 899 0.082 0.140 0.351
3 0 0 228 0.019 0.400 1.069
3 1 0 296 0.143 0.355 1.132
4 0 0 172 0.027 0.101 0.161
4 1 0 970 0.044 0.125 0.175
0 0 0 1043 0.022 0.134 0.197
1 0 0 693 0.028 0.075 0.106
1 1 0 695 0.024 0.095 0.173
2 0 0 706 0.019 3.670 98.191
2 1 0 915 0.046 0.208 2.675
3 0 0 308 0.024 2.759 46.342
3 1 0 309 0.190 0.389 1.121
4 0 0 170 0.059 0.117 0.160
4 1 0 998 0.060 0.135 0.222
0 0 0 1035 0.023 0.148 0.394
1 0 0 695 0.021 0.081 0.205
1 1 0 704 0.022 0.091 0.180
2 0 0 654 0.023 1.585 28.230
2 1 0 918 0.024 0.120 0.183
3 0 0 294 0.029 1.119 6.061
3 1 0 307 0.028 0.841 13.073
4 0 0 459 0.023 0.117 0.191
4 1 0 981 0.038 0.132 0.219
0 0 0 996 0.059 0.137 0.210
1 0 0 666 0.018 0.074 0.091
1 1 0 666 0.032 0.105 0.159
2 0 0 624 0.412 250.977 5796.734
2 1 0 878 0.019 0.121 0.184
3 0 0 301 0.020 0.358 1.322
3 1 0 284 0.030 0.590 6.632
4 0 0 295 0.015 0.104 0.178
4 1 0 958 0.020 0.539 2.262
0 0 0 1031 0.027 0.129 0.174
1 0 0 696 0.023 0.075 0.120
1 1 0 682 0.020 0.470 6.241
2 0 0 664 0.027 215.621 3319.630
2 1 0 921 0.026 0.119 0.216
3 0 0 277 0.024 0.281 0.853
3 1 0 289 0.022 0.368 1.516
4 0 0 464 0.018 0.106 0.156
